"Index","Batch","WEM","Audio","EventID","ActionID","SoundID","SourceID","DurationSec","Category","Character","OriginalTranscript","PTBR","Notes","Status","WhisperModel","WhisperLanguage","WhisperProbability","TranscriptionTimeSec"
"160","Batch_002","70532753.wem","Batch_002/0160_70532753.wav","1726545727","451104876","724719174","70532753","1,338","FALA","","That's the last one I needed.","","","TRANSCRIBED","small.en","en","1.0000","1.37"
"161","Batch_002","215314467.wem","Batch_002/0161_215314467.wav","162858554","937801278","235759430","215314467","1,344","FALA","","Please!","","","TRANSCRIBED","small.en","en","1.0000","1.32"
"162","Batch_002","1015064643.wem","Batch_002/0162_1015064643.wav","3868670544","691663341","669634303","1015064643","1,35","FALA","","OPEN THE FRIGGIN' DOOR!","","","TRANSCRIBED","small.en","en","1.0000","1.40"
"163","Batch_002","853491826.wem","Batch_002/0163_853491826.wav","1459636069","516516145","889058608","853491826","1,357","FALA","","This will fetch good coin.","","","TRANSCRIBED","small.en","en","1.0000","1.34"
"164","Batch_002","232476450.wem","Batch_002/0164_232476450.wav","681762395","985071126","159629790","232476450","1,358","FALA","","This lock should be no trouble.","","","TRANSCRIBED","small.en","en","1.0000","1.40"
"165","Batch_002","1994541.wem","Batch_002/0165_1994541.wav","1939217055","483822953","123592416","1994541","1,363","FALA","","Loss.","","","TRANSCRIBED","small.en","en","1.0000","1.34"
"166","Batch_002","933920771.wem","Batch_002/0166_933920771.wav","1855482301","958923539","78479861","933920771","1,365","FALA","","Did you say something?","","","TRANSCRIBED","small.en","en","1.0000","1.35"
"167","Batch_002","897931311.wem","Batch_002/0167_897931311.wav","506962629","2285844","656397272","897931311","1,365","FALA","","HUT THEM DOWN!","","","TRANSCRIBED","small.en","en","1.0000","1.41"
"168","Batch_002","197738680.wem","Batch_002/0168_197738680.wav","2357038600","592851939","869813336","197738680","1,368","FALA","","I've been looking for this.","","","TRANSCRIBED","small.en","en","1.0000","1.43"
"169","Batch_002","45145384.wem","Batch_002/0169_45145384.wav","506953500","178446032","917952391","45145384","1,371","FALA","","How did the crowd take it?","","","TRANSCRIBED","small.en","en","1.0000","1.42"
"170","Batch_002","48753438.wem","Batch_002/0170_48753438.wav","2239595267","299213525","893424268","48753438","1,38","FALA","","Basso won't be fencing this.","","","TRANSCRIBED","small.en","en","1.0000","1.40"
"171","Batch_002","578006395.wem","Batch_002/0171_578006395.wav","909603870","1043784522","1062181540","578006395","1,386","FALA","","I might be able to get up there.","","","TRANSCRIBED","small.en","en","1.0000","1.40"
"172","Batch_002","92791440.wem","Batch_002/0172_92791440.wav","350822486","782660235","708761017","92791440","1,387","FALA","","The Altar","","","TRANSCRIBED","small.en","en","1.0000","1.35"
"173","Batch_002","120369165.wem","Batch_002/0173_120369165.wav","3574820932","441572062","359274625","120369165","1,388","FALA","","I know, sweetie.","","","TRANSCRIBED","small.en","en","1.0000","1.38"
"174","Batch_002","332168452.wem","Batch_002/0174_332168452.wav","428771288","62223399","431125421","332168452","1,389","FALA","","Well that was disappointing.","","","TRANSCRIBED","small.en","en","1.0000","1.41"
"175","Batch_002","284086785.wem","Batch_002/0175_284086785.wav","1426861212","505799495","764403018","284086785","1,391","FALA","","The cell is made of stone, isn't it?","","","TRANSCRIBED","small.en","en","1.0000","1.43"
"176","Batch_002","227431214.wem","Batch_002/0176_227431214.wav","721567578","1002138588","209336428","227431214","1,392","FALA","","What's a third offense get you?","","","TRANSCRIBED","small.en","en","1.0000","1.41"
"177","Batch_002","583111496.wem","Batch_002/0177_583111496.wav","737463583","178740520","600570182","583111496","1,392","FALA","","Praise Orion!","","","TRANSCRIBED","small.en","en","1.0000","1.37"
"178","Batch_002","701213895.wem","Batch_002/0178_701213895.wav","837529575","485369732","826275070","701213895","1,392","FALA","","How far do you think he'll get?","","","TRANSCRIBED","small.en","en","1.0000","1.43"
"179","Batch_002","264889363.wem","Batch_002/0179_264889363.wav","3513521233","1037899952","55143284","264889363","1,399","FALA","","She's waiting!","","","TRANSCRIBED","small.en","en","1.0000","1.38"
"180","Batch_002","139313318.wem","Batch_002/0180_139313318.wav","56395845","438149503","406602012","139313318","1,403","FALA","","if the city falls.","","","TRANSCRIBED","small.en","en","1.0000","1.37"
"181","Batch_002","317399096.wem","Batch_002/0181_317399096.wav","2342766750","295772386","568474308","317399096","1,407","FALA","","than what's he selling?","","","TRANSCRIBED","small.en","en","1.0000","1.37"
"182","Batch_002","1018719994.wem","Batch_002/0182_1018719994.wav","3777410797","85098204","877020574","1018719994","1,412","FALA","","What's starting then, love?","","","TRANSCRIBED","small.en","en","1.0000","1.41"
"183","Batch_002","635449659.wem","Batch_002/0183_635449659.wav","3020580112","249493294","398940593","635449659","1,416","FALA","","Get to cover, run!","","","TRANSCRIBED","small.en","en","1.0000","1.38"
"184","Batch_002","568173431.wem","Batch_002/0184_568173431.wav","3970474506","854999758","631835536","568173431","1,421","FALA","","Don't go.","","","TRANSCRIBED","small.en","en","1.0000","1.33"
"185","Batch_002","31944517.wem","Batch_002/0185_31944517.wav","2108699618","831490196","937276189","31944517","1,437","FALA","","Give him the long drop!","","","TRANSCRIBED","small.en","en","1.0000","1.41"
"186","Batch_002","272253548.wem","Batch_002/0186_272253548.wav","959936727","182873655","133404495","272253548","1,438","FALA","","There must be a way to get up there.","","","TRANSCRIBED","small.en","en","1.0000","1.43"
"188","Batch_002","465962432.wem","Batch_002/0188_465962432.wav","1506958271","1064049449","330774367","465962432","1,44","FALA","","Sacrifice.","","","TRANSCRIBED","small.en","en","1.0000","1.37"
"189","Batch_002","441636163.wem","Batch_002/0189_441636163.wav","412114493","161013131","150813176","441636163","1,441","FALA","","FREEDOM","","","TRANSCRIBED","small.en","en","1.0000","1.32"
"190","Batch_002","208695542.wem","Batch_002/0190_208695542.wav","3279244510","138703191","845948462","208695542","1,443","FALA","","You mean I'm man in black?","","","TRANSCRIBED","small.en","en","1.0000","1.39"
"191","Batch_002","898503064.wem","Batch_002/0191_898503064.wav","698539982","310126389","757938650","898503064","1,448","FALA","","This luck will be nothing.","","","TRANSCRIBED","small.en","en","1.0000","1.35"
"192","Batch_002","145401243.wem","Batch_002/0192_145401243.wav","1917077711","993476896","310592170","145401243","1,451","FALA","","So lost...","","","TRANSCRIBED","small.en","en","1.0000","1.31"
"193","Batch_002","560660796.wem","Batch_002/0193_560660796.wav","2319939863","373001820","1029609207","560660796","1,456","FALA","","I wonder where this goes.","","","TRANSCRIBED","small.en","en","1.0000","1.38"
"195","Batch_002","105106109.wem","Batch_002/0195_105106109.wav","3393122011","876453350","870012059","105106109","1,463","FALA","","This is your city too.","","","TRANSCRIBED","small.en","en","1.0000","1.38"
"197","Batch_002","410333338.wem","Batch_002/0197_410333338.wav","973348405","249034661","989937905","410333338","1,465","FALA","","I say we raid the place.","","","TRANSCRIBED","small.en","en","1.0000","1.41"
"198","Batch_002","765967550.wem","Batch_002/0198_765967550.wav","2949996389","704635580","400841042","765967550","1,467","FALA","","He was a good man!","","","TRANSCRIBED","small.en","en","1.0000","1.35"
"199","Batch_002","867596762.wem","Batch_002/0199_867596762.wav","2764976541","1060556026","980836785","867596762","1,475","FALA","","Where do you think they're all going?","","","TRANSCRIBED","small.en","en","1.0000","1.40"
"200","Batch_002","534780668.wem","Batch_002/0200_534780668.wav","934411688","203041246","308496167","534780668","1,476","FALA","","She's waiting...","","","TRANSCRIBED","small.en","en","1.0000","1.33"
"201","Batch_003","1002356841.wem","Batch_003/0201_1002356841.wav","1422005274","478655467","490656433","1002356841","1,483","FALA","","Not sure that will support me.","","","TRANSCRIBED","small.en","en","1.0000","1.36"
"202","Batch_003","857517261.wem","Batch_003/0202_857517261.wav","3506748687","825136468","542135117","857517261","1,484","FALA","","I shouldn't draw too much attention.","","","TRANSCRIBED","small.en","en","1.0000","1.37"
"203","Batch_003","679458430.wem","Batch_003/0203_679458430.wav","892826283","518025656","888018491","679458430","1,493","FALA","","I should be able to climb that.","","","TRANSCRIBED","small.en","en","1.0000","1.41"
"204","Batch_003","450167022.wem","Batch_003/0204_450167022.wav","1528523366","760646068","632188632","450167022","1,493","FALA","","My condolences.","","","TRANSCRIBED","small.en","en","1.0000","1.36"
"205","Batch_003","691955040.wem","Batch_003/0205_691955040.wav","351493867","312613068","621432585","691955040","1,497","FALA","","The night will end soon enough.","","","TRANSCRIBED","small.en","en","1.0000","1.38"
"206","Batch_003","201252940.wem","Batch_003/0206_201252940.wav","3111750117","1030007405","753255660","201252940","1,499","FALA","","He knows everybody.","","","TRANSCRIBED","small.en","en","1.0000","1.38"
"207","Batch_003","536079640.wem","Batch_003/0207_536079640.wav","2859732940","343632455","909925224","536079640","1,5","FALA","","Did you nab it? Let's see.","","","TRANSCRIBED","small.en","en","1.0000","1.48"
"208","Batch_003","337206063.wem","Batch_003/0208_337206063.wav","112551792","737897573","907096513","337206063","1,502","FALA","","Doesn't seem much of a challenge.","","","TRANSCRIBED","small.en","en","1.0000","1.40"
"209","Batch_003","537768246.wem","Batch_003/0209_537768246.wav","1204866844","232683145","67889318","537768246","1,509","FALA","","What were you doing up there?","","","TRANSCRIBED","small.en","en","1.0000","1.34"
"210","Batch_003","623217668.wem","Batch_003/0210_623217668.wav","313782177","798926590","442588376","623217668","1,516","FALA","","It fits your topple on us!","","","TRANSCRIBED","small.en","en","1.0000","1.37"
"211","Batch_003","821440897.wem","Batch_003/0211_821440897.wav","2222202438","401809353","171524185","821440897","1,517","FALA","","You, on your knees!","","","TRANSCRIBED","small.en","en","1.0000","1.37"
"212","Batch_003","709111517.wem","Batch_003/0212_709111517.wav","1909401199","849067476","307213396","709111517","1,517","FALA","","What happened to our reinforcements?","","","TRANSCRIBED","small.en","en","1.0000","1.34"
"213","Batch_003","785886237.wem","Batch_003/0213_785886237.wav","2909911435","206471921","457857934","785886237","1,519","FALA","","This isn't a friggin' living.","","","TRANSCRIBED","small.en","en","1.0000","1.39"
"214","Batch_003","9381084.wem","Batch_003/0214_9381084.wav","3841807736","37837930","381803477","9381084","1,525","FALA","","Just what I was looking for.","","","TRANSCRIBED","small.en","en","1.0000","1.40"
"215","Batch_003","18903818.wem","Batch_003/0215_18903818.wav","3995398616","752129565","466078840","18903818","1,525","FALA","","ONE TURN DESERVES ANOTHER!","","","TRANSCRIBED","small.en","en","1.0000","1.42"
"216","Batch_003","1002118069.wem","Batch_003/0216_1002118069.wav","926381553","831342287","826545595","1002118069","1,525","FALA","","I'm certain there's a way to get up there.","","","TRANSCRIBED","small.en","en","1.0000","1.44"
"217","Batch_003","658700189.wem","Batch_003/0217_658700189.wav","1892954248","619906170","616214252","658700189","1,535","FALA","","That's the only one I know.","","","TRANSCRIBED","small.en","en","1.0000","1.39"
"218","Batch_003","1063776406.wem","Batch_003/0218_1063776406.wav","457953562","199148310","212466701","1063776406","1,535","FALA","","Good job, Basso. Good job.","","","TRANSCRIBED","small.en","en","1.0000","1.55"
